"","date","word","count","percent","filter"
"1","2020-03-31","estevirusloparamosunido",7,28,"twitter"
"2","2020-03-31","ser",7,28,"twitter"
"3","2020-03-31","estevirusloparamosunidos",7,28,"twitter"
"4","2020-03-31","covid",6,24,"twitter"
"5","2020-03-31","medida",6,24,"twitter"
"6","2020-03-31","coronavirus",6,24,"twitter"
"7","2020-03-31","gobierno",6,24,"twitter"
"8","2020-03-31","covid",6,24,"twitter"
"9","2020-03-31","quedateencasa",6,24,"twitter"
"10","2020-03-31","coronavirus",6,24,"twitter"
"11","2020-03-31","gobierno",6,24,"twitter"
"12","2020-03-31","trabajador",5,20,"twitter"
"13","2020-03-31","espano",5,20,"twitter"
"14","2020-03-31","casa",5,20,"twitter"
"15","2020-03-31","espana",5,20,"twitter"
"16","2020-04-30","quedateencasa",8,32,"twitter"
"17","2020-04-30","covid",7,28,"twitter"
"18","2020-04-30","confinamiento",6,24,"twitter"
"19","2020-04-30","espana",5,20,"twitter"
"20","2020-04-30","coronavirus",3,12,"twitter"
"21","2020-04-30","nacional",3,12,"twitter"
"22","2020-04-30","f",3,12,"twitter"
"23","2020-04-30","sanitarios",3,12,"twitter"
"24","2020-04-30","test",3,12,"twitter"
"25","2020-04-30","mas",3,12,"twitter"
"26","2020-04-30","gobierno",3,12,"twitter"
"27","2020-04-30","dar",3,12,"twitter"
"28","2020-04-30","si",3,12,"twitter"
"29","2020-04-30","anos",2,8,"twitter"
"30","2020-04-30","hospital",2,8,"twitter"
"31","2020-03-30","d",13,52,"twitter"
"32","2020-03-30","coronavirus",10,40,"twitter"
"33","2020-03-30","espana",7,28,"twitter"
"34","2020-03-30","estevirusloparamosunidos",7,28,"twitter"
"35","2020-03-30","df",6,24,"twitter"
"36","2020-03-30","si",6,24,"twitter"
"37","2020-03-30","m",5,20,"twitter"
"38","2020-03-30","flo",5,20,"twitter"
"39","2020-03-30","paramos",5,20,"twitter"
"40","2020-03-30","informe",3,12,"twitter"
"41","2020-03-30","quedateencasa",3,12,"twitter"
"42","2020-03-30","gobierno",3,12,"twitter"
"43","2020-03-30","casa",3,12,"twitter"
"44","2020-03-30","hacer",3,12,"twitter"
"45","2020-03-30","f",3,12,"twitter"
"46","2020-04-29","quedateencasa",9,36,"twitter"
"47","2020-04-29","confinamiento",9,36,"twitter"
"48","2020-04-29","covid",6,24,"twitter"
"49","2020-04-29","f",5,20,"twitter"
"50","2020-04-29","si",4,16,"twitter"
"51","2020-04-29","dias",4,16,"twitter"
"52","2020-04-29","madrid",3,12,"twitter"
"53","2020-04-29","mas",3,12,"twitter"
"54","2020-04-29","nacional",3,12,"twitter"
"55","2020-04-29","contagios",3,12,"twitter"
"56","2020-04-29","ninos",2,8,"twitter"
"57","2020-04-29","pueden",2,8,"twitter"
"58","2020-04-29","hora",2,8,"twitter"
"59","2020-04-29","distancia",2,8,"twitter"
"60","2020-04-29","emergencia",2,8,"twitter"
"61","2020-03-29","estevirusloparamosunidos",6,24,"twitter"
"62","2020-03-29","confinamiento",6,24,"twitter"
"63","2020-03-29","espana",6,24,"twitter"
"64","2020-03-29","coronavirus",6,24,"twitter"
"65","2020-03-29","hora",4,16,"twitter"
"66","2020-03-29","yomequedoencasa",3,12,"twitter"
"67","2020-03-29","gobierno",3,12,"twitter"
"68","2020-03-29","muertos",3,12,"twitter"
"69","2020-03-29","si",3,12,"twitter"
"70","2020-03-29","covid",3,12,"twitter"
"71","2020-03-29","vamos",3,12,"twitter"
"72","2020-03-29","top",3,12,"twitter"
"73","2020-03-29","iglesias",2,8,"twitter"
"74","2020-03-29","pueda",2,8,"twitter"
"75","2020-03-29","menos",2,8,"twitter"
"76","2020-04-28","covid",12,48,"twitter"
"77","2020-04-28","quedateencasa",9,36,"twitter"
"78","2020-04-28","f",8,32,"twitter"
"79","2020-04-28","gobierno",6,24,"twitter"
"80","2020-04-28","confinamiento",6,24,"twitter"
"81","2020-04-28","espana",4,16,"twitter"
"82","2020-04-28","dias",4,16,"twitter"
"83","2020-04-28","hoy",4,16,"twitter"
"84","2020-04-28","test",4,16,"twitter"
"85","2020-04-28","hace",3,12,"twitter"
"86","2020-04-28","conferencia",3,12,"twitter"
"87","2020-04-28","fa",2,8,"twitter"
"88","2020-04-28","mas",2,8,"twitter"
"89","2020-04-28","pruebas",2,8,"twitter"
"90","2020-04-28","realiza",2,8,"twitter"
"91","2020-03-28","espana",9,36,"twitter"
"92","2020-03-28","muertos",9,36,"twitter"
"93","2020-03-28","confinamiento",9,36,"twitter"
"94","2020-03-28","coronavirus",7,28,"twitter"
"95","2020-03-28","covid",7,28,"twitter"
"96","2020-03-28","estevirusloparamosunidos",6,24,"twitter"
"97","2020-03-28","total",3,12,"twitter"
"98","2020-03-28","fallecidos",3,12,"twitter"
"99","2020-03-28","mundo",3,12,"twitter"
"100","2020-03-28","top",3,12,"twitter"
"101","2020-03-28","mues",3,12,"twitter"
"102","2020-03-28","solo",3,12,"twitter"
"103","2020-03-28","si",3,12,"twitter"
"104","2020-03-28","quedateencasa",3,12,"twitter"
"105","2020-03-28","casos",3,12,"twitter"
"106","2020-04-27","quedateencasa",11,44,"twitter"
"107","2020-04-27","confinamiento",9,36,"twitter"
"108","2020-04-27","f",8,32,"twitter"
"109","2020-04-27","covid",5,20,"twitter"
"110","2020-04-27","hoy",5,20,"twitter"
"111","2020-04-27","gobierno",5,20,"twitter"
"112","2020-04-27","dias",4,16,"twitter"
"113","2020-04-27","medidas",4,16,"twitter"
"114","2020-04-27","gestion",3,12,"twitter"
"115","2020-04-27","desastre",3,12,"twitter"
"116","2020-04-27","casa",3,12,"twitter"
"117","2020-04-27","rapido",3,12,"twitter"
"118","2020-04-27","mas",2,8,"twitter"
"119","2020-04-27","sanitaria",2,8,"twitter"
"120","2020-04-27","salir",2,8,"twitter"
"121","2020-03-27","estevirusloparamosunidos",9,36,"twitter"
"122","2020-03-27","coronavirus",9,36,"twitter"
"123","2020-03-27","espana",8,32,"twitter"
"124","2020-03-27","si",6,24,"twitter"
"125","2020-03-27","m",5,20,"twitter"
"126","2020-03-27","ministro",4,16,"twitter"
"127","2020-03-27","covid",4,16,"twitter"
"128","2020-03-27","confinamiento",3,12,"twitter"
"129","2020-03-27","medidas",3,12,"twitter"
"130","2020-03-27","holanda",3,12,"twitter"
"131","2020-03-27","quuedateencasa",3,12,"twitter"
"132","2020-03-27","sanidad",3,12,"twitter"
"133","2020-03-27","top",3,12,"twitter"
"134","2020-03-27","gracias",3,12,"twitter"
"135","2020-03-27","solo",3,12,"twitter"
"136","2020-04-26","espana",8,32,"twitter"
"137","2020-04-26","confinamiento",6,24,"twitter"
"138","2020-04-26","quuedateencasa",6,24,"twitter"
"139","2020-04-26","hoy",5,20,"twitter"
"140","2020-04-26","covid",5,20,"twitter"
"141","2020-04-26","coronavirus",4,16,"twitter"
"142","2020-04-26","frente",4,16,"twitter"
"143","2020-04-26","uf",4,16,"twitter"
"144","2020-04-26","muertos",3,12,"twitter"
"145","2020-04-26","madrid",3,12,"twitter"
"146","2020-04-26","datos",3,12,"twitter"
"147","2020-04-26","total",3,12,"twitter"
"148","2020-04-26","gobierno",3,12,"twitter"
"149","2020-04-26","duedas",3,12,"twitter"
"150","2020-04-26","nuevo",3,12,"twitter"
"151","2020-03-26","coronavirus",7,28,"twitter"
"152","2020-03-26","espana",6,24,"twitter"
"153","2020-03-26","si",6,24,"twitter"
"154","2020-03-26","estevirusloparamosunidos",5,20,"twitter"
"155","2020-03-26","quuedateencasa",5,20,"twitter"
"156","2020-03-26","covid",4,16,"twitter"
"157","2020-03-26","confinamiento",4,16,"twitter"
"158","2020-03-26","china",4,16,"twitter"
"159","2020-03-26","aufos",3,12,"twitter"
"160","2020-03-26","solo",3,12,"twitter"
"161","2020-03-26","gracias",3,12,"twitter"
"162","2020-03-26","salud",3,12,"twitter"
"163","2020-03-26","gobierno",3,12,"twitter"
"164","2020-03-26","medidas",3,12,"twitter"
"165","2020-03-26","asued",3,12,"twitter"
"166","2020-04-25","quuedateencasa",9,36,"twitter"
"167","2020-04-25","coronavirus",5,20,"twitter"
"168","2020-04-25","covid",5,20,"twitter"
"169","2020-04-25","confinamiento",5,20,"twitter"
"170","2020-04-25","uf",5,20,"twitter"
"171","2020-04-25","hacer",3,12,"twitter"
"172","2020-04-25","gobierno",3,12,"twitter"
"173","2020-04-25","espana",3,12,"twitter"
"174","2020-04-25","si",3,12,"twitter"
"175","2020-04-25","personas",3,12,"twitter"
"176","2020-04-25","hoy",3,12,"twitter"
"177","2020-04-25","cara",2,8,"twitter"
"178","2020-04-25","instituciones",2,8,"twitter"
"179","2020-04-25","frente",2,8,"twitter"
"180","2020-04-25","estevirusloparamosunidos",2,8,"twitter"
"181","2020-03-25","ufcc",11,44,"twitter"
"182","2020-03-25","coronavirus",9,36,"twitter"
"183","2020-03-25","espana",8,32,"twitter"
"184","2020-03-25","covid",7,28,"twitter"
"185","2020-03-25","estevirusloparamosunidos",6,24,"twitter"
"186","2020-03-25","gobierno",5,20,"twitter"
"187","2020-03-25","medidas",4,16,"twitter"
"188","2020-03-25","quuedateencasa",4,16,"twitter"
"189","2020-03-25","si",4,16,"twitter"
"190","2020-03-25","gracias",4,16,"twitter"
"191","2020-03-25","confinamiento",4,16,"twitter"
"192","2020-03-25","casa",3,12,"twitter"
"193","2020-03-25","mas",3,12,"twitter"
"194","2020-03-25","china",3,12,"twitter"
"195","2020-03-25","aufos",3,12,"twitter"
"196","2020-05-24","covid",13,52,"twitter"
"197","2020-05-24","quedateencasa",9,36,"twitter"
"198","2020-05-24","mas",6,24,"twitter"
"199","2020-05-24","casos",5,20,"twitter"
"200","2020-05-24","espana",4,16,"twitter"
"201","2020-05-24","coronavirus",4,16,"twitter"
"202","2020-05-24","gobierno",4,16,"twitter"
"203","2020-05-24","f",4,16,"twitter"
"204","2020-05-24","hoy",3,12,"twitter"
"205","2020-05-24","desescalada",3,12,"twitter"
"206","2020-05-24","chile",3,12,"twitter"
"207","2020-05-24","fase",3,12,"twitter"
"208","2020-05-24","madrid",3,12,"twitter"
"209","2020-05-24","salud",3,12,"twitter"
"210","2020-05-24","solo",2,8,"twitter"
"211","2020-04-24","f",11,44,"twitter"
"212","2020-04-24","confinamiento",10,40,"twitter"
"213","2020-04-24","quedateencasa",10,40,"twitter"
"214","2020-04-24","plan",5,20,"twitter"
"215","2020-04-24","covid",4,16,"twitter"
"216","2020-04-24","gobierno",4,16,"twitter"
"217","2020-04-24","coronavirus",4,16,"twitter"
"218","2020-04-24","fd",3,12,"twitter"
"219","2020-04-24","vida",3,12,"twitter"
"220","2020-04-24","dias",3,12,"twitter"
"221","2020-04-24","espana",3,12,"twitter"
"222","2020-04-24","personas",3,12,"twitter"
"223","2020-04-24","abril",3,12,"twitter"
"224","2020-04-24","bien",3,12,"twitter"
"225","2020-04-24","muertos",3,12,"twitter"
"226","2020-03-24","d",13,52,"twitter"
"227","2020-03-24","ff",11,44,"twitter"
