"","X","status_id","text","user_id","screen_name","followers_count","is_retweet","retweet_count","retweet_status_id","retweet_text","retweet_user_id","retweet_screen_name","retweet_retweet_count","mentions_user_id","mentions_screen_name","media_type","media_url","urls_url","created_at","indegree","text.clean","text.lem","polarity","sentiment.anger","sentiment.anticipation","sentiment.disgust","sentiment.fear","sentiment.joy","sentiment.sadness","sentiment.surprise","sentiment.trust","sentiment.negative","sentiment.positive"
"1",644068,"x1245497648863469568","Ayer en España murió por #coronavirus una persona cada dos minutos.
Que nadie me pida que me calle porque no lo voy a hacer.","x1164293845733060610","JClintEastwood",33,TRUE,4056,"x1244241496573870081","Ayer en España murió por #coronavirus una persona cada dos minutos.
Que nadie me pida que me calle porque no lo voy a hacer.","x65858141","jaimeberenguer",4056,"x65858141","jaimeberenguer","","","","2020-04-01",1840,"ayer en espana murio por coronavirus una persona cada dos minutos
que nadie me pida que me calle porque no lo voy a hacer","ayer en espano murio por coronavirus uno persona cada dos minuto que nadie yo pedir que yo calle porque no él ir a hacer",0,0,0,0,0,0,0,0,0,0,1
"2",118165,"x1245484565654880258","Un día más es un día menos. Gracias al esfuerzo de todos y todas venceremos al #COVID19. Somos un gran país, una sociedad unida y solidaria que estos días está mostrando lo mejor de sí misma. No bajemos la guardia, sigamos adelante, lo vamos a conseguir. #EsteVirusLoParamosUnidos https://t.co/ZiPK1YKyom","x1707552476","emiliagon10",945,TRUE,2327,"x1245424848110792712","Un d<U+00ED>a m<U+00E1>s es un d<U+00ED>a menos. Gracias al esfuerzo de todos y todas venceremos al #COVID19. Somos un gran pa<U+00ED>s, una sociedad unida y solidaria que estos d<U+00ED>as est<U+00E1> mostrando lo mejor de s<U+00ED> misma. No bajemos la guardia, sigamos adelante, lo vamos a conseguir. #EsteVirusLoParamosUnidos https://t.co/ZiPK1YKyom","x68740712","sanchezcastejon",2327,"x68740712","sanchezcastejon","","","","2020-04-01",1862,"un dia mas es un dia menos gracias al esfuerzo de todos y todas venceremos al covid somos un gran pais una sociedad unida y solidaria que estos dias esta mostrando lo mejor de si misma no bajemos la guardia sigamos adelante lo vamos a conseguir estevirusloparamosunidos ","uno dia mas ser uno dia menos gracia NA a el esfuerzo de todo y todo vencer NA a el covid ser uno gran pais uno sociedad unido y solidario que este dia estar mostrar él mejor de si mismo no bajer el guardia sigar adelante él ir a conseguir estevirusloparamosunido",0,0,0,0,1,0,0,0,2,0,7
"3",694769,"x1245329138162032642","Fallecidos con coronavirus, por países:

F4CC Italia: 4.825
F4CC China: 3.261
F4CC Irán: 1.556
F4CC España: 1.422
F4CC Francia: 450
F4CC EE UU: 267
F4CC Reino Unido: 177
F4CC Países Bajos: 136
F4CC Corea del Sur: 102
F4CC Alemania: 72
F4CC Japón: 36 https://t.co/akS6W1Slgz","x2913098872","vasquezlopezv",80,TRUE,2322,"x1241642500454039553","Fallecidos con coronavirus, por países:

<U+0001F4CC> Italia: 4.825
<U+0001F4CC> China: 3.261
<U+0001F4CC> Irán: 1.556
<U+0001F4CC> España: 1.422
<U+0001F4CC> Francia: 450
<U+0001F4CC> EE UU: 267
<U+0001F4CC> Reino Unido: 177
<U+0001F4CC> Países Bajos: 136
<U+0001F4CC> Corea del Sur: 102
<U+0001F4CC> Alemania: 72
<U+0001F4CC> Japón: 36 https://t.co/akS6W1Slgz","x7996082","el_pais",2322,"x7996082","el_pais","","","","2020-04-01",1907,"fallecidos con coronavirus por paises fcc italia 
fcc china 
fcc iran 
fcc espana 
fcc francia 
fcc ee uu 
fcc reino unido 
fcc paises bajos 
fcc corea del sur 
fcc alemania 
fcc japon  ","fallecido con coronavirus por pais fcc italia fcc china fcc ir fcc espano fcc francia fcc ee uu fcc reino unido fcc pais bajo fcc coreo NA de el sur fcc alemania fcc japon",-0.25,0,0,0,0,0,1,0,1,1,2
"4",196048,"x1245495555108884480","Conoce a los expertos que atienden la emergencia sanitaria: cuentan con años de experiencia, especialidades, doctorados y reconocimientos internacionales. #QuédateEnCasa #MéxicoSolidario https://t.co/Il8vYJxnUQ","x192981797","HNU2010",144,TRUE,3207,"x1245377672169086978","Conoce a los expertos que atienden la emergencia sanitaria: cuentan con a<U+00F1>os de experiencia, especialidades, doctorados y reconocimientos internacionales. #Qu<U+00E9>dateEnCasa #M<U+00E9>xicoSolidario https://t.co/Il8vYJxnUQ","x994266261306597376","BeatrizGMuller",3207,"x994266261306597376","BeatrizGMuller","","","","2020-04-01",1962,"conoce a los expertos que atienden la emergencia sanitaria cuentan con anos de experiencia especialidades doctorados y reconocimientos internacionales quedateencasa mexicosolidario ","conocer a el experto que atender el emergencia sanitario contar con ano de experiencia especialidad doctorado y reconocimiento internacional quedateencasar mexicosolidario",-0.25,0,0,0,1,0,1,1,2,1,5
"5",643567,"x1245495088844886016","Dijeron que era mentira, que el avión no llegaría. Pero hoy ha llegado el primer cargamento de material sanitario que adquirió la Comunidad de Madrid hace unos días. 

Para nosotros, los sanitarios son lo primero

#QueNoMientan 

https://t.co/xqVYWODV8p","x848262872023142401","Josef1564",952,TRUE,2435,"x1245288967769128961","Dijeron que era mentira, que el avión no llegaría. Pero hoy ha llegado el primer cargamento de material sanitario que adquirió la Comunidad de Madrid hace unos días. 

Para nosotros, los sanitarios son lo primero

#QueNoMientan 

https://t.co/xqVYWODV8p","x18979745","ppmadrid",2435,"x18979745","ppmadrid","","","","2020-04-01",1996,"dijeron que era mentira que el avion no llegaria pero hoy ha llegado el primer cargamento de material sanitario que adquirio la comunidad de madrid hace unos dias para nosotros los sanitarios son lo primero quenomientan ","decir que ser mentira que el avion no llegario pero hoy haber llegar el primero cargamento de material sanitario que adquirio el comunidad de madrid hacer uno dia para yo el sanitario ser él primero quenomientar",0,2,1,1,0,0,1,0,0,2,3
"6",183697,"x1245224594379649024","Estas son las nuevas medidas adoptadas por el Gobierno para combatir la crisis sanitaria y social ante el #COVID19 que ha anunciado hoy el presidente del Gobierno, @sanchezcastejon: ⤵️

#EsteVirusLoParamosUnidos https://t.co/5gducQEGXm","x2324064985","BOrozco13",206,TRUE,763,"x1241755131261136896","Estas son las nuevas medidas adoptadas por el Gobierno para combatir la crisis sanitaria y social ante el #COVID19 que ha anunciado hoy el presidente del Gobierno, @sanchezcastejon: <U+2935><U+FE0F>

#EsteVirusLoParamosUnidos https://t.co/5gducQEGXm","x58417540","desdelamoncloa",763,"x58417540","desdelamoncloa","","","","2020-04-01",2006,"estas son las nuevas medidas adoptadas por el gobierno para combatir la crisis sanitaria y social ante el covid que ha anunciado hoy el presidente del gobierno   estevirusloparamosunidos ","este ser el nuevo medida adoptado por el gobierno para combatir el crisis sanitario y social ante el covid que haber anunciar hoy el presidente NA de el gobierno estevirusloparamosunido",-0.75,0,0,0,1,0,1,0,2,3,3
"7",129912,"x1245441282572529664","Al salir de casa para hacer compras de primera necesidad ten en cuenta:
F538Pueden ir quienes no presenten síntomas
F538Distancia mínima de 1-2 metros
F538Utiliza guantes de usar y tirar para elegir fruta y verdura
F538No te toques la cara 
F538Actúa con empatía
#EsteVirusLoParamosUnidos https://t.co/E9BqsIgU6l","x297956649","Rafa_Terreros",249,TRUE,3226,"x1240557208947081217","Al salir de casa para hacer compras de primera necesidad ten en cuenta:
<U+0001F538>Pueden ir quienes no presenten s<U+00ED>ntomas
<U+0001F538>Distancia m<U+00ED>nima de 1-2 metros
<U+0001F538>Utiliza guantes de usar y tirar para elegir fruta y verdura
<U+0001F538>No te toques la cara 
<U+0001F538>Act<U+00FA>a con empat<U+00ED>a
#EsteVirusLoParamosUnidos https://t.co/E9BqsIgU6l","x232124120","sanidadgob",3226,"x232124120","sanidadgob","","","","2020-04-01",2007,"al salir de casa para hacer compras de primera necesidad ten en cuenta
fpueden ir quienes no presenten sintomas
fdistancia minima de  metros
futiliza guantes de usar y tirar para elegir fruta y verdura
fno te toques la cara factua con empatia
estevirusloparamosunidos ","NA a el salir de casa para hacer compra de primero necesidad tar en contar fpuedar ir quien no presentar sintoma fdistancia minimo de metro futilizar guante de usar y tirar para elegir fruta y verdura fno tú toque el cara factuo con empatia estevirusloparamosunido",-0.25,0,2,0,0,0,2,0,1,0,3
"8",640842,"x1245155667188604930","Los asuntos claves de la epidemia no son contestadas por Duque

El confinamiento es muy poroso y evadible

No se atreven a frenar el pago de deudas ni arriendos

No hay pago estatal de servicios públicos 

No hay compra de UCIs y ayudas respiratorias

No hay comptñra de pruebas","x2885316700","_Alexander_97",241,TRUE,3346,"x1242240465220616193","Los asuntos claves de la epidemia no son contestadas por Duque

El confinamiento es muy poroso y evadible

No se atreven a frenar el pago de deudas ni arriendos

No hay pago estatal de servicios p<U+00FA>blicos 

No hay compra de UCIs y ayudas respiratorias

No hay compt<U+00F1>ra de pruebas","x49849732","petrogustavo",3346,"x49849732","petrogustavo","","","","2020-04-01",2190,"los asuntos claves de la epidemia no son contestadas por duque el confinamiento es muy poroso y evadible no se atreven a frenar el pago de deudas ni arriendos no hay pago estatal de servicios publicos no hay compra de ucis y ayudas respiratorias no hay comptnra de pruebas","el asunto clave de el epidemia no ser contestado por duque el confinamiento ser mucho poroso y evadible no él atrver a frenar el pago de deuda ni arriendo no haber pago estatal de servicio publico no haber compra de uci y ayuda respiratorio no haber comptnra de prueba",0,2,1,1,2,0,3,1,1,4,3
"9",437317,"x1245264522631249920","Nuestros adultos mayores son los más vulnerables ante esta crisis, es importante tomar las medidas de prevención necesarias para el cuidado de su salud y bienestar. #EnEdoméxPrevenirEsSalud #QuédateEnCasa #Covid_19mx https://t.co/VqMWYbVKXF","x981693045262319620","Maribelblanco01",33,TRUE,12173,"x1242454874266058752","Nuestros adultos mayores son los m<U+00E1>s vulnerables ante esta crisis, es importante tomar las medidas de prevenci<U+00F3>n necesarias para el cuidado de su salud y bienestar. #EnEdom<U+00E9>xPrevenirEsSalud #Qu<U+00E9>dateEnCasa #Covid_19mx https://t.co/VqMWYbVKXF","x15946615","Edomex",12173,"x15946615","Edomex","","","","2020-04-01",2274,"nuestros adultos mayores son los mas vulnerables ante esta crisis es importante tomar las medidas de prevencion necesarias para el cuidado de su salud y bienestar enedomexpreveniressalud quedateencasa covidmx ","nuestro adulto mayor ser el mas vulnerable ante este crisis ser importante tomar el medida de prevencion necesario para el cuidado de su salud y bienestar enedomexpreveniressalud quedateencaso covidmx",-1.25,0,0,0,0,0,1,0,1,3,3
"10",66753,"x1245464749715972096","Otra jornada negra en Europa por el #COVID19

En España, el #coronavirus dejó 832 muertos en las últimas 24 horas. Es un nuevo récord. En Italia, hubo casi 1000 fallecidos. Ya son 600 mil los casos en todo el mundo, la mitad de ellos en el Viejo Continente.

#DWNoticias / lm https://t.co/teNLTzsNIm","x1121915734710464512","Pepe01447276",2817,TRUE,1805,"x1243873699436077058","Otra jornada negra en Europa por el #COVID19

En España, el #coronavirus dejó 832 muertos en las últimas 24 horas. Es un nuevo récord. En Italia, hubo casi 1000 fallecidos. Ya son 600 mil los casos en todo el mundo, la mitad de ellos en el Viejo Continente.

#DWNoticias / lm https://t.co/teNLTzsNIm","x6135622","dw_espanol",1805,"x6135622","dw_espanol","","","","2020-04-01",2338,"otra jornada negra en europa por el covid en espana el coronavirus dejo  muertos en las ultimas  horas es un nuevo record en italia hubo casi  fallecidos ya son  mil los casos en todo el mundo la mitad de ellos en el viejo continente dwnoticias  lm ","otro jornada negro en europa por el covid en espano el coronavirus dejar muerto en el ultima hora ser uno nuevo record en italia haber casi fallecido ya ser mil el caso en todo el mundo el mitad de él en el viejo continente dwnoticia lm",0,0,0,0,1,0,5,1,0,8,0
